"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.925986990E-1,1.483550072E-1,9.122636169E-2,9.916754723E0,9.918283908E0
3.951411990E-1,1.363908947E-1,7.208377868E-2,9.861719131E0,9.862925670E0
3.976836990E-1,1.244267747E-1,2.422732860E-2,9.830613136E0,9.831430395E0
4.002261990E-1,8.374879509E-2,7.686942816E-2,9.749257088E0,9.749919822E0
4.027686990E-1,1.627119333E-1,1.247258782E-1,9.761220932E0,9.763373690E0
4.053111990E-1,1.268195957E-1,1.079761237E-1,9.854540825E0,9.855948302E0
4.078536990E-1,7.417750359E-2,1.271187067E-1,9.892826080E0,9.893920827E0
4.103961990E-1,1.148554832E-1,1.390828192E-1,9.864111900E0,9.865760964E0
4.129386990E-1,1.268195957E-1,1.654038578E-1,9.813862801E0,9.816075831E0
4.154811990E-1,9.092725813E-2,1.414756328E-1,9.813862801E0,9.815303673E0
4.180236990E-1,5.742774159E-2,1.701895148E-1,9.787542343E0,9.789190341E0
4.205661990E-1,6.939185411E-2,1.606182158E-1,9.785149574E0,9.786713730E0
4.231086990E-1,9.332008660E-2,8.165507019E-2,9.818648338E0,9.819431317E0
4.256511990E-1,1.124626622E-1,8.883354068E-2,9.806684494E0,9.807731645E0
4.281936990E-1,1.794617027E-1,1.366899908E-1,9.837791443E0,9.840377591E0
4.307361990E-1,1.674975902E-1,1.438684613E-1,9.888040543E0,9.890505515E0
4.332786990E-1,1.363908947E-1,1.079761237E-1,9.888040543E0,9.889570622E0
4.358211990E-1,1.387837082E-1,1.103689447E-1,9.849755287E0,9.851351249E0
4.383636990E-1,1.148554832E-1,9.122636169E-2,9.933504105E0,9.934586948E0
4.409061990E-1,1.363908947E-1,3.619144112E-2,9.878469467E0,9.879477279E0
4.434486990E-1,1.316052526E-1,6.011966988E-2,9.782755852E0,9.783825753E0
4.459911990E-1,2.276172489E-1,3.379862010E-2,9.842576981E0,9.845266557E0
4.485336990E-1,1.941177398E-1,7.926224917E-2,9.909575462E0,9.911793483E0
4.510761990E-1,1.770688742E-1,1.465603895E-2,9.895218849E0,9.896813844E0
4.536186990E-1,2.467598319E-1,2.422732860E-2,9.821041107E0,9.824170490E0
4.561611990E-1,2.204387933E-1,4.815555736E-2,9.866504669E0,9.869084385E0
4.587036990E-1,2.084746659E-1,9.870393202E-3,9.916754723E0,9.918950718E0
4.612461990E-1,2.084746659E-1,4.097708687E-2,9.797113419E0,9.799416929E0
4.637886990E-1,1.411765367E-1,8.644071966E-2,9.818648338E0,9.820043686E0
4.663311990E-1,1.555334777E-1,6.490531564E-2,9.833005905E0,9.834450086E0
4.688736990E-1,1.965105534E-1,2.991028305E-4,9.768399239E0,9.770375641E0
4.714161990E-1,1.941177398E-1,4.815555736E-2,9.777970314E0,9.780015548E0
4.739586990E-1,2.132603228E-1,4.815555736E-2,9.789935112E0,9.792376035E0
4.765011990E-1,2.252244353E-1,4.336991161E-2,9.720542908E0,9.723248501E0
4.790436990E-1,1.651047617E-1,3.619144112E-2,9.837791443E0,9.839243359E0
4.815861990E-1,2.491526604E-1,3.379862010E-2,9.974182129E0,9.977350777E0
4.841286990E-1,2.922234535E-1,8.165507019E-2,9.888040543E0,9.892694672E0
4.866711990E-1,2.060818523E-1,7.447660714E-2,9.787542343E0,9.789994975E0
4.892136990E-1,1.941177398E-1,2.422732860E-2,9.787542343E0,9.789497116E0
4.917561990E-1,2.324029058E-1,2.991028305E-4,9.813862801E0,9.816614196E0
4.942986990E-1,1.818545163E-1,3.140579537E-2,9.828220367E0,9.829952847E0
4.968411990E-1,1.555334777E-1,-1.884347759E-2,9.821041107E0,9.822290678E0
4.993836990E-1,1.965105534E-1,5.084747914E-3,9.864111900E0,9.866070435E0
5.019261990E-1,2.108674943E-1,3.858426586E-2,9.873683929E0,9.876010742E0
5.044686990E-1,1.579262912E-1,2.422732860E-2,9.890433311E0,9.891723751E0
5.070111990E-1,1.770688742E-1,3.619144112E-2,9.818648338E0,9.820311522E0
5.095536990E-1,2.252244353E-1,4.336991161E-2,9.806684494E0,9.809366328E0
5.120961990E-1,1.941177398E-1,5.054837838E-2,9.947860718E0,9.949882899E0
5.146386990E-1,1.674975902E-1,8.883354068E-2,9.907182693E0,9.908996708E0
5.171811990E-1,2.084746659E-1,2.422732860E-2,9.926325798E0,9.928544329E0
5.197236990E-1,1.196411327E-1,6.011966988E-2,9.830613136E0,9.831524959E0
5.222661990E-1,1.507478207E-1,4.576273263E-2,9.739685059E0,9.740959099E0
5.248086990E-1,1.459621787E-1,2.662015148E-2,9.706186295E0,9.707320226E0
5.273511990E-1,1.941177398E-1,1.175474152E-1,9.876076698E0,9.878683619E0
5.298936990E-1,1.172483116E-1,1.031904742E-1,9.823433876E0,9.824675494E0
5.324361990E-1,4.546362907E-2,4.576273263E-2,9.720542908E0,9.720756945E0
5.349786990E-1,1.387837082E-1,8.404789865E-2,9.871291161E0,9.872624481E0
5.375211990E-1,1.435693651E-1,1.582254022E-1,9.837791443E0,9.840111174E0
5.400636990E-1,3.828516230E-2,1.366899908E-1,9.643972397E0,9.645017029E0
5.426061990E-1,3.589234129E-2,1.007976532E-1,9.756435394E0,9.757022088E0
5.451486990E-1,1.603191197E-1,1.127617657E-1,9.955039978E0,9.956969338E0
5.476911990E-1,1.316052526E-1,9.601201117E-2,9.849755287E0,9.851102348E0
5.502336990E-1,2.153540403E-2,1.103689447E-1,9.679864883E0,9.680518025E0
5.527761990E-1,7.417750359E-2,8.404789865E-2,9.754042625E0,9.754686765E0
