"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.852759140E-1,-9.337386489E-2,-2.633621991E-1,9.771036148E0,9.775030728E0
3.872756470E-1,-9.097966552E-2,-2.753331959E-1,9.771036148E0,9.775338003E0
3.892753800E-1,-9.337386489E-2,-2.753331959E-1,9.766247749E0,9.770574300E0
3.912751800E-1,-1.149216816E-1,-2.657563984E-1,9.756670952E0,9.760966219E0
3.932744800E-1,-1.149216816E-1,-2.561795712E-1,9.754277229E0,9.758317439E0
3.952742130E-1,-1.029506698E-1,-2.370259613E-1,9.761459351E0,9.764879354E0
3.972739460E-1,-1.077390760E-1,-2.394201756E-1,9.766247749E0,9.769776089E0
3.992736790E-1,-1.053448766E-1,-2.681505978E-1,9.761459351E0,9.765709956E0
4.012734120E-1,-1.101332754E-1,-2.705447972E-1,9.754277229E0,9.758649911E0
4.032731450E-1,-1.005564705E-1,-2.394201756E-1,9.771036148E0,9.774486228E0
4.052728780E-1,-1.005564705E-1,-2.394201756E-1,9.771036148E0,9.774486228E0
4.072726780E-1,-1.005564705E-1,-2.370259613E-1,9.761459351E0,9.764854406E0
4.092728110E-1,-8.858546615E-2,-2.489969730E-1,9.763854027E0,9.767430181E0
4.112725440E-1,-7.900865376E-2,-2.657563984E-1,9.766247749E0,9.770182390E0
4.132722770E-1,-7.422025502E-2,-2.633621991E-1,9.763854027E0,9.767687226E0
4.152720100E-1,-7.900865376E-2,-2.585737705E-1,9.756670952E0,9.760416529E0
4.172717430E-1,-1.029506698E-1,-2.681505978E-1,9.761459351E0,9.765684422E0
4.192714760E-1,-1.125274822E-1,-2.705447972E-1,9.763854027E0,9.768249709E0
4.212712090E-1,-1.077390760E-1,-2.633621991E-1,9.775824547E0,9.779964873E0
4.232710090E-1,-8.619125932E-2,-2.609679997E-1,9.771036148E0,9.774900544E0
4.252706750E-1,-8.619125932E-2,-2.609679997E-1,9.771036148E0,9.774900544E0
4.272704080E-1,-7.182604820E-2,-2.657563984E-1,9.771036148E0,9.774913445E0
4.292701410E-1,-8.379705995E-2,-2.729389966E-1,9.768642426E0,9.772813949E0
4.312698740E-1,-8.619125932E-2,-2.657563984E-1,9.756670952E0,9.760670236E0
4.332696070E-1,-8.858546615E-2,-2.609679997E-1,9.763854027E0,9.767742684E0
4.352693400E-1,-1.029506698E-1,-2.513911724E-1,9.749488831E0,9.753272724E0
