"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.172679770E-1	1.061731204E-2	2.727349848E-2	8.739471436E-3	3.054422032E-2
8.219880290E-1	-1.322925463E-2	5.669105798E-3	-2.455425262E-2	2.846161030E-2
8.267080290E-1	5.862770602E-3	1.509222388E-2	-1.960372925E-2	2.542544987E-2
8.314280290E-1	8.241485804E-3	3.395631909E-2	-2.655887604E-2	4.388994863E-2
8.361480810E-1	1.286132634E-2	9.923350066E-3	-2.159214020E-2	2.702049426E-2
8.408680810E-1	-1.512408257E-3	9.847462177E-3	-1.666641235E-2	1.941723953E-2
8.455880810E-1	-1.501085237E-3	2.400950342E-2	-2.601909637E-2	3.543589829E-2
8.503081330E-1	-1.338225231E-2	4.805196077E-3	-2.342987061E-2	2.740681344E-2
8.550281330E-1	3.338165581E-3	-1.186619699E-2	-2.797985077E-2	3.057485944E-2
8.597481850E-1	3.337204456E-3	9.595524520E-3	-4.910278320E-2	5.014273968E-2
8.644681850E-1	-1.333004422E-2	1.424016058E-2	-5.581188202E-2	5.912223293E-2
8.691881850E-1	1.290944591E-2	-1.649558544E-4	-6.246566772E-2	6.378589694E-2
8.739082370E-1	5.681939423E-3	6.905920804E-3	-4.296112061E-2	4.388204714E-2
8.786282370E-1	5.605334416E-3	6.799228489E-3	-6.395816803E-2	6.456234614E-2
8.833482370E-1	2.934227325E-2	9.094368666E-3	-6.579875946E-2	7.261648083E-2
8.880682900E-1	1.488731243E-2	-7.640648633E-3	-5.575942993E-2	5.821619714E-2
8.927882900E-1	1.479010098E-2	-2.658111602E-2	-8.376979828E-2	8.912172529E-2
8.975082900E-1	1.703876629E-2	-1.926195249E-2	-8.544445038E-2	8.923058036E-2
9.022283420E-1	-6.916912273E-3	-4.885129631E-3	-6.812191010E-2	6.864621477E-2
9.069483420E-1	-1.635192148E-2	7.054843009E-3	-8.891010284E-2	9.067614093E-2
9.116683940E-1	7.484080270E-3	-1.157037914E-4	-6.681346893E-2	6.723142476E-2
9.163883940E-1	-9.189587086E-3	-1.197225973E-2	-8.286762238E-2	8.423079218E-2
9.211083940E-1	-9.114129469E-3	-7.119834423E-3	-6.319332123E-2	6.424293927E-2
9.258284460E-1	9.915800765E-3	-1.177142188E-2	-6.029415131E-2	6.222759966E-2
9.305484460E-1	5.030367523E-3	-2.590373531E-2	-5.030059814E-2	5.680192139E-2
9.352684460E-1	-2.591589838E-2	-4.324954003E-3	-7.360935211E-2	7.815801772E-2
9.399884980E-1	-1.386444084E-2	-4.281941801E-3	-6.587791443E-2	6.745707787E-2
9.447084980E-1	-6.659176201E-3	1.948953420E-2	-5.346488953E-2	5.729468547E-2
9.494284980E-1	-1.914938912E-3	2.751778811E-3	-5.776500702E-2	5.786220972E-2
9.541485500E-1	4.730932415E-4	2.707950771E-3	-3.592777252E-2	3.603278581E-2
9.588685500E-1	-1.139622554E-2	3.353982791E-2	-1.901721954E-2	4.020508242E-2
9.635886020E-1	1.717220992E-2	3.086638823E-2	-6.994247437E-3	3.600747441E-2
9.683086020E-1	1.225459017E-2	1.400604844E-2	2.554893494E-3	1.878488365E-2
9.730286020E-1	5.004908890E-3	4.376821220E-3	1.202583313E-2	1.374140966E-2
9.777486540E-1	9.708162397E-3	1.974515617E-3	4.806518555E-3	1.101134641E-2
9.824686540E-1	2.149086818E-2	1.617446542E-2	1.425743103E-2	3.044248818E-2
9.871886540E-1	1.187534258E-2	6.527248770E-3	2.363109589E-2	2.724073110E-2
9.919087060E-1	7.085552439E-3	-1.490407065E-2	3.055286407E-2	3.472483086E-2
9.966287060E-1	1.888995990E-2	-1.480085403E-2	4.216194153E-2	4.851314439E-2
1.001348706E0	1.867552102E-2	-7.551979274E-3	6.079387665E-2	6.404453852E-2
1.006068758E0	1.849097386E-2	-2.406430431E-2	7.452392578E-2	8.046628095E-2
1.010788758E0	2.545456775E-2	-2.500861883E-3	8.339405060E-2	8.722818928E-2
1.015508810E0	3.233233094E-2	-1.442125440E-2	9.456348419E-2	1.009732873E-1
1.020228810E0	1.307918690E-2	1.415268332E-2	9.140300751E-2	9.341238331E-2
1.024948810E0	2.246060036E-2	-2.568550408E-3	8.826923370E-2	9.111823988E-2
1.029668862E0	1.040789485E-2	-1.205974445E-2	1.017704010E-1	1.030095929E-1
1.034388862E0	3.173425794E-3	-2.460829914E-3	8.905696869E-2	8.914746203E-2
1.039108862E0	-8.718712255E-3	1.414870843E-2	1.310262680E-1	1.320760569E-1
1.043828915E0	8.163824677E-4	4.518188536E-3	1.275615692E-1	1.276441712E-1
1.048548915E0	-8.655102924E-3	-2.863109112E-4	1.217536926E-1	1.220612733E-1
1.053268915E0	-1.335768029E-2	-2.166087180E-2	1.397218704E-1	1.420204987E-1
1.057988967E0	-2.511190064E-2	-1.915654540E-2	1.290664673E-1	1.328748801E-1
1.062708967E0	-2.250289917E-2	-7.181566209E-3	8.765220642E-2	9.077920827E-2
1.067429019E0	-3.333590925E-3	-1.183268428E-2	9.641265869E-2	9.719324051E-2
1.072149019E0	-1.517134719E-2	2.566084266E-3	9.323596954E-2	9.449709297E-2
1.076869019E0	-1.270114817E-2	-2.117722481E-2	1.114416122E-1	1.141447632E-1
1.081589019E0	-1.022370532E-2	-1.390327886E-2	1.033954620E-1	1.048257930E-1
1.086309071E0	-1.011163555E-2	1.226519793E-2	9.066867828E-2	9.205155879E-2
1.091029071E0	-1.709130406E-2	1.451469585E-2	5.906581879E-2	6.317879406E-2
1.095749123E0	-2.878656983E-2	2.536136657E-3	3.721714020E-2	4.711914809E-2
1.100469123E0	-2.377404086E-2	4.866786301E-3	1.792430878E-2	3.016904826E-2
1.105189123E0	-1.877560094E-2	2.432081848E-3	4.387664795E-2	4.778701129E-2
1.109909175E0	-1.621969044E-2	-1.181874797E-2	-1.343917847E-2	2.415310910E-2
1.114629175E0	-6.622437388E-3	1.508854330E-4	2.226638794E-2	2.323083027E-2
1.119349175E0	2.923000604E-3	4.874210805E-3	7.843971252E-3	9.686575685E-3
1.124069227E0	-1.131193154E-2	4.812408239E-3	-3.018760681E-2	3.259464179E-2
1.128789227E0	-4.100458696E-3	1.658745110E-2	-3.834724426E-3	1.751177909E-2
1.133509227E0	3.106920049E-3	-1.201863959E-2	-1.105823517E-1	1.112769390E-1
1.138229279E0	-1.112954877E-2	-2.137520164E-2	-5.508518219E-2	6.012606255E-2
1.142949279E0	-8.749192581E-3	-4.608072340E-3	-4.276180267E-2	4.389025483E-2
1.147669279E0	3.186849877E-3	-4.590850323E-3	-7.562541962E-2	7.583162936E-2
1.152389331E0	-1.107812487E-2	9.635608643E-3	-4.652023315E-2	4.878218832E-2
1.157109331E0	-1.802176051E-2	1.187902316E-2	-6.985950470E-2	7.311802404E-2
1.161829383E0	-1.304312237E-2	2.211339772E-3	-7.639598846E-2	7.753296149E-2
1.166549383E0	-1.099286601E-3	9.290382266E-3	-1.089792252E-1	1.093800309E-1
1.171269383E0	1.317403093E-2	1.633850858E-2	-1.104450226E-1	1.124215503E-1
1.175989435E0	5.972145125E-3	2.095483989E-2	-9.766006470E-2	1.000612816E-1
1.180709435E0	-1.783571020E-2	-7.687564939E-3	-6.599712372E-2	6.879557800E-2
1.185429435E0	-1.050200313E-3	-5.271788687E-3	-9.154891968E-2	9.170659393E-2
1.190149487E0	1.319440641E-2	-9.994879365E-3	-5.756664276E-2	5.989915135E-2
