"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.866770240E-1,1.350402832E-2,1.022338867E-3,-3.436279297E-2,3.693515261E-2
7.916819070E-1,1.785278320E-3,-1.113891602E-3,-3.648376465E-2,3.654439842E-2
7.966562720E-1,-1.472473145E-2,4.882812500E-4,-3.915405273E-2,4.183414849E-2
8.016611550E-1,-3.230285645E-2,-2.700805664E-3,-3.861999512E-2,5.042095704E-2
8.066660380E-1,-4.934692383E-2,-8.560180664E-3,-3.594970703E-2,6.165044217E-2
8.116709200E-1,-6.480407715E-2,-1.281738281E-2,-3.382873535E-2,7.421749829E-2
8.166452860E-1,-7.757568359E-2,-1.495361328E-2,-3.543090820E-2,8.658490914E-2
8.216501680E-1,-8.557128906E-2,-1.762390137E-2,-3.968811035E-2,9.595933261E-2
8.266550510E-1,-8.770751953E-2,-1.655578613E-2,-4.234313965E-2,9.879091310E-2
8.316599340E-1,-8.078002930E-2,-1.441955566E-2,-4.447937012E-2,9.333676170E-2
8.366342990E-1,-6.692504883E-2,-1.388549805E-2,-4.714965820E-2,8.303529060E-2
8.416391820E-1,-5.094909668E-2,-1.281738281E-2,-4.714965820E-2,7.059168523E-2
8.466135470E-1,-3.443908691E-2,-1.069641113E-2,-4.447937012E-2,5.726149042E-2
8.516184300E-1,-1.579284668E-2,-8.026123047E-3,-4.501342773E-2,4.837397372E-2
8.566233130E-1,2.853393555E-3,-4.302978516E-3,-4.341125488E-2,4.371721091E-2
8.616281960E-1,2.041625977E-2,-4.302978516E-3,-4.075622559E-2,4.578656147E-2
8.666025610E-1,3.694152832E-2,-1.632690430E-3,-3.755187988E-2,5.270185837E-2
8.716074440E-1,5.238342285E-2,2.090454102E-3,-3.222656250E-2,6.153815336E-2
8.766123270E-1,6.196594238E-2,5.813598633E-3,-2.690124512E-2,6.780304516E-2
8.815866920E-1,6.835937500E-2,6.347656250E-3,-2.690124512E-2,7.373583850E-2
8.865915750E-1,7.049560547E-2,8.483886719E-3,-2.210998535E-2,7.436705034E-2
8.915964570E-1,6.942749023E-2,5.279541016E-3,-2.050781250E-2,7.258526247E-2
8.966013400E-1,6.622314453E-2,3.158569336E-3,-2.104187012E-2,6.955747070E-2
